trial_id,scenario,method,repeat,num_uav,mean_tracking_rmse_m,max_tracking_error_m,mean_arrival_time_s,arrival_time_variance_s2,mean_settling_time_s,max_overshoot_m,mean_final_position_error_m,all_arrived,all_settled
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,8,0.2766781796002451,1.171657681465149,12.601627588272095,0.07071932127900027,nan,0.12744174797298768,0.038861194742952965,True,False
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,8,0.2942645746586653,1.1656326055526733,12.731584668159485,0.12563116049123835,nan,0.12077240547784474,0.027249995091967072,True,False
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,8,0.30534595650892166,1.2066123485565186,12.643909811973572,0.10766129361785204,nan,0.10820048390479275,0.01964164020799774,True,False
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,8,0.3007557132076536,1.173266053199768,12.61849582195282,0.11697935350990463,nan,0.10901766372826849,0.04000618364001414,True,False
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,8,0.29138091479853095,1.2251251935958862,12.66155481338501,0.1429938501603374,nan,0.10781410002574532,0.030745501138081725,True,False
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,8,0.34363646284177274,1.553222417831421,10.80738377571106,0.2631185289639575,nan,0.05354810805036525,0.021882060548978722,True,False
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,8,0.29426788952906985,1.4864838123321533,10.80498218536377,0.2567355545679675,nan,0.06607555484694405,0.032871296785157586,True,False
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,0.30885277549987633,1.5318634510040283,10.782892346382141,0.23642190784777029,nan,0.05330195903859192,0.025982311456878075,True,False
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,8,0.31638819010197233,1.5029375553131104,10.781331896781921,0.26942472062260947,nan,0.05307215554001843,0.038998496003216254,True,False
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,8,0.3051246216140356,1.5183056592941284,10.771264433860779,0.2722763183523824,nan,0.05165924033159186,0.0227443128767391,True,False
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,8,4.428443261137887,16.985185623168945,8.018364361354283,4.686930499969576,8.20634118715922,1.1312087681925007,0.47081796203277093,False,False
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,8,4.032160005285081,16.69882583618164,7.876813054084778,3.853610836176742,7.817624909537179,1.5353115621156554,0.4595317704441374,True,False
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,8,4.435953757504696,16.98215103149414,8.015671849250793,3.880445352982221,8.415674567222595,1.1604263841841238,0.464890082270945,True,True
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,8,4.430100352083965,16.98797035217285,8.1549271941185,4.255047320379642,8.377980572836739,1.1874864913178627,0.4660380660332897,True,False
eight_uav_line_to_circle__px4_step__r05,eight_uav_line_to_circle,px4_step,5,8,4.436477043968379,16.988142013549805,7.557346264521281,4.39668027821922,8.15735681851705,1.1773860387773496,0.46903233674713823,False,False
five_uav_circle__linear_ladrc__r01,five_uav_circle,linear_ladrc,1,5,0.5100957685142171,1.4680246114730835,8.957736396789551,0.002295574717791169,nan,0.08034573749272944,0.04196596650237891,True,False
five_uav_circle__linear_ladrc__r02,five_uav_circle,linear_ladrc,2,5,0.4898360801400113,1.4494413137435913,9.006228256225587,0.017533182922634297,nan,0.06817233892051533,0.08049796235728884,True,False
five_uav_circle__linear_ladrc__r03,five_uav_circle,linear_ladrc,3,5,0.47486704376281924,1.4295779466629028,9.025112533569336,0.2143114302487811,nan,0.09042621710684173,0.055019843572957,True,False
five_uav_circle__linear_ladrc__r04,five_uav_circle,linear_ladrc,4,5,0.5370406057916048,1.4706876277923584,8.95486660003662,0.010383197852352168,nan,0.07643175508202482,0.02467570997045822,True,False
five_uav_circle__linear_ladrc__r05,five_uav_circle,linear_ladrc,5,5,0.49128557086021923,1.4484531879425049,9.039161109924317,0.018333531135649537,nan,0.09778371161477928,0.04876648018603064,True,False
five_uav_circle__minimum_jerk_ladrc__r01,five_uav_circle,minimum_jerk_ladrc,1,5,0.6403504262830945,2.1090917587280273,7.571219635009766,0.042058458073970545,nan,0.057883595885353856,0.028463150034623637,True,False
five_uav_circle__minimum_jerk_ladrc__r02,five_uav_circle,minimum_jerk_ladrc,2,5,0.6287402453335676,2.074141263961792,7.483826923370361,0.016011883279643372,nan,0.05078324941471024,0.05356042823869407,True,False
five_uav_circle__minimum_jerk_ladrc__r03,five_uav_circle,minimum_jerk_ladrc,3,5,0.632778509556433,2.098735809326172,7.49608964920044,0.028146838983648195,nan,0.2105205227417084,0.057230012889506014,True,False
five_uav_circle__minimum_jerk_ladrc__r04,five_uav_circle,minimum_jerk_ladrc,4,5,0.6484722545545051,2.1007697582244873,7.5027495384216305,0.01753274904589489,nan,0.0755859896639528,0.04783696137951263,True,False
five_uav_circle__minimum_jerk_ladrc__r05,five_uav_circle,minimum_jerk_ladrc,5,5,0.64129787147413,2.088209867477417,7.4658203125,0.005598776783881476,nan,0.04713358803217993,0.05540472907060864,True,False
five_uav_circle__px4_step__r01,five_uav_circle,px4_step,1,5,5.042109203660856,15.04806900024414,7.660666346549988,3.338875956845456,8.760682344436646,0.9893841998420676,0.4603782929636499,False,False
five_uav_circle__px4_step__r02,five_uav_circle,px4_step,2,5,5.1509657706185905,15.020462989807129,7.889639091491699,3.1548291181222883,8.669881343841553,0.9478860860380713,0.2533415562258915,True,True
five_uav_circle__px4_step__r03,five_uav_circle,px4_step,3,5,5.173947667629174,15.023223876953125,8.014121150970459,3.4800598586755225,8.794131469726562,0.8920430939751842,0.2528899528187425,True,True
five_uav_circle__px4_step__r04,five_uav_circle,px4_step,4,5,5.214425969145278,15.027266502380371,8.389333057403565,4.81600221016175,8.355930964152018,0.7662724649995099,0.4402844179247616,True,False
five_uav_circle__px4_step__r05,five_uav_circle,px4_step,5,5,5.160746394248734,15.011391639709473,7.904964447021484,3.3511885838841406,8.664973735809326,0.9532245377799295,0.24293378744159996,True,True
single_uav__linear_ladrc__r01,single_uav,linear_ladrc,1,1,0.3278393115557184,0.5219869017601013,8.383094787597656,0.0,nan,0.052037819572539945,0.045288431472735195,True,False
single_uav__linear_ladrc__r02,single_uav,linear_ladrc,2,1,0.31660129497538475,0.5455378890037537,8.473017692565918,0.0,nan,0.05621169997905895,0.04032913320168212,True,False
single_uav__linear_ladrc__r03,single_uav,linear_ladrc,3,1,0.3324325052355426,0.5086448788642883,8.398459434509277,0.0,nan,0.06027164827382947,0.03655330395207278,True,False
single_uav__linear_ladrc__r04,single_uav,linear_ladrc,4,1,0.36125634955113933,0.5240384340286255,8.399880409240723,0.0,nan,0.05399917360649731,0.021625982575497974,True,False
single_uav__linear_ladrc__r05,single_uav,linear_ladrc,5,1,0.34506691305059434,0.5612661242485046,8.48232364654541,0.0,nan,0.052749497963803904,0.03384093183148802,True,False
single_uav__minimum_jerk_ladrc__r01,single_uav,minimum_jerk_ladrc,1,1,0.3758661496838046,0.6767995953559875,7.497304439544678,0.0,nan,0.043296899262248445,0.029385336941962374,True,False
single_uav__minimum_jerk_ladrc__r02,single_uav,minimum_jerk_ladrc,2,1,0.3468890246100163,0.6357012987136841,7.197422504425049,0.0,nan,0.08689870872847294,0.033858477178591945,True,False
single_uav__minimum_jerk_ladrc__r03,single_uav,minimum_jerk_ladrc,3,1,0.3265765780822622,0.5989614129066467,7.380646228790283,0.0,nan,0.04990404668079407,0.04469235829618712,True,False
single_uav__minimum_jerk_ladrc__r04,single_uav,minimum_jerk_ladrc,4,1,0.35756669734396623,0.652794599533081,7.484699726104736,0.0,nan,0.04998324033600987,0.028376580744865314,True,False
