[INFO] [1788421068.921241372] [rosbag2_recorder]: Press SPACE for pausing/resuming
[INFO] [1788421068.922962128] [rosbag2_storage]: Opened database '/home/yihuang/learning/LLM_swarm_ws/e5_v2_formal_raw_archive_v1/.pending/000028__E5V2-B-S1-N8-R3/rosbag/rosbag_0.db3' for READ_WRITE.
[INFO] [1788421068.923862621] [rosbag2_recorder]: Listening for topics...
[INFO] [1788421068.924287124] [rosbag2_recorder]: Event publisher thread: Starting
[INFO] [1788421068.926794390] [rosbag2_recorder]: Subscribed to topic '/uav8/status'
[INFO] [1788421068.928320312] [rosbag2_recorder]: Subscribed to topic '/uav7/swarm_state'
[INFO] [1788421068.929203853] [rosbag2_recorder]: Subscribed to topic '/uav8/startup_event'
[INFO] [1788421068.929892951] [rosbag2_recorder]: Subscribed to topic '/uav7/status'
[INFO] [1788421068.930614519] [rosbag2_recorder]: Subscribed to topic '/uav7/startup_event'
[INFO] [1788421068.931489104] [rosbag2_recorder]: Subscribed to topic '/uav4/swarm_state'
[INFO] [1788421068.932124742] [rosbag2_recorder]: Subscribed to topic '/uav4/status'
[INFO] [1788421068.932816284] [rosbag2_recorder]: Subscribed to topic '/uav4/startup_event'
[INFO] [1788421068.934164825] [rosbag2_recorder]: Subscribed to topic '/clock'
[INFO] [1788421068.934255484] [rosbag2_recorder]: Recording...
[INFO] [1788421068.938740987] [rosbag2_recorder]: Subscribed to topic '/uav4/control_tracking_debug'
[INFO] [1788421068.939270707] [rosbag2_recorder]: Subscribed to topic '/uav8/control_tracking_debug'
[INFO] [1788421068.939910403] [rosbag2_recorder]: Subscribed to topic '/uav4/control_adaptation'
[INFO] [1788421068.941898979] [rosbag2_recorder]: Subscribed to topic '/px4_6/fmu/out/vehicle_odometry'
[INFO] [1788421068.942633793] [rosbag2_recorder]: Subscribed to topic '/uav2/trajectory_metrics'
[INFO] [1788421068.943167891] [rosbag2_recorder]: Subscribed to topic '/px4_7/fmu/out/vehicle_odometry'
[INFO] [1788421068.943823356] [rosbag2_recorder]: Subscribed to topic '/uav4/iapf_debug'
[INFO] [1788421068.944516191] [rosbag2_recorder]: Subscribed to topic '/px4_6/fmu/out/vehicle_status'
[INFO] [1788421068.945078982] [rosbag2_recorder]: Subscribed to topic '/uav1/control_adaptation'
[INFO] [1788421068.945598163] [rosbag2_recorder]: Subscribed to topic '/uav1/control_tracking_debug'
[INFO] [1788421068.946090924] [rosbag2_recorder]: Subscribed to topic '/uav7/control_tracking_debug'
[INFO] [1788421068.946622247] [rosbag2_recorder]: Subscribed to topic '/px4_7/fmu/out/vehicle_status'
[INFO] [1788421068.947115458] [rosbag2_recorder]: Subscribed to topic '/uav1/iapf_debug'
[INFO] [1788421068.947612658] [rosbag2_recorder]: Subscribed to topic '/uav1/status'
[INFO] [1788421068.948084069] [rosbag2_recorder]: Subscribed to topic '/uav7/control_adaptation'
[INFO] [1788421068.948565919] [rosbag2_recorder]: Subscribed to topic '/uav8/control_adaptation'
[INFO] [1788421068.949104736] [rosbag2_recorder]: Subscribed to topic '/uav7/iapf_debug'
[INFO] [1788421068.949570517] [rosbag2_recorder]: Subscribed to topic '/uav8/iapf_debug'
[INFO] [1788421068.950061625] [rosbag2_recorder]: Subscribed to topic '/uav8/swarm_state'
[INFO] [1788421068.950556640] [rosbag2_recorder]: Subscribed to topic '/px4_3/fmu/out/vehicle_status'
[INFO] [1788421068.951061764] [rosbag2_recorder]: Subscribed to topic '/uav1/startup_event'
[INFO] [1788421068.951565145] [rosbag2_recorder]: Subscribed to topic '/uav8/trajectory_metrics'
[INFO] [1788421068.952053618] [rosbag2_recorder]: Subscribed to topic '/px4_2/fmu/out/vehicle_odometry'
[INFO] [1788421068.952598947] [rosbag2_recorder]: Subscribed to topic '/px4_3/fmu/out/vehicle_odometry'
[INFO] [1788421068.953189210] [rosbag2_recorder]: Subscribed to topic '/px4_2/fmu/out/vehicle_status'
[INFO] [1788421068.953699824] [rosbag2_recorder]: Subscribed to topic '/uav2/status'
