batch_id,task_type,attempt_id,attempt_index,input_mode,llm_called,llm_model,latency_ms,valid_json,schema_valid,semantic_valid,repair_applied,error_type,raw_response_path
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0001,1,llm,True,MiniMax-M2.7-highspeed,3763,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_d_dense/attempt_0001/llm_metrics.json
exp10-formal-v2-gated-20260803,task_a_simple,attempt_0002,1,llm,True,MiniMax-M2.7-highspeed,3576,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_a_simple/attempt_0002/llm_metrics.json
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0003,1,llm,True,MiniMax-M2.7-highspeed,7124,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_c_grouped/attempt_0003/llm_metrics.json
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0004,1,llm,True,MiniMax-M2.7-highspeed,11162,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_b_sequential/attempt_0004/llm_metrics.json
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0005,1,llm,True,MiniMax-M2.7-highspeed,28556,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_e_mixed/attempt_0005/llm_metrics.json
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0006,1,llm,True,MiniMax-M2.7-highspeed,6637,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_c_grouped/attempt_0006/llm_metrics.json
exp10-formal-v2-gated-20260803,task_a_simple,attempt_0007,1,llm,True,MiniMax-M2.7-highspeed,3677,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_a_simple/attempt_0007/llm_metrics.json
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0008,1,llm,True,MiniMax-M2.7-highspeed,16361,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_b_sequential/attempt_0008/llm_metrics.json
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0009,1,llm,True,MiniMax-M2.7-highspeed,55325,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_e_mixed/attempt_0009/llm_metrics.json
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0010,1,llm,True,MiniMax-M2.7-highspeed,5602,False,False,False,False,JSONDecodeError,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_d_dense/attempt_0010/llm_metrics.json
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0010,2,llm,True,MiniMax-M2.7-highspeed,4762,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_d_dense/attempt_0010/llm_metrics.json
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0011,1,llm,True,MiniMax-M2.7-highspeed,31909,False,False,False,False,JSONDecodeError,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_e_mixed/attempt_0011/llm_metrics.json
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0011,2,llm,True,MiniMax-M2.7-highspeed,33495,False,False,False,False,JSONDecodeError,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_e_mixed/attempt_0011/llm_metrics.json
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0011,3,llm,True,MiniMax-M2.7-highspeed,12201,False,False,False,False,JSONDecodeError,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_e_mixed/attempt_0011/llm_metrics.json
exp10-formal-v2-gated-20260803,task_a_simple,attempt_0012,1,llm,True,MiniMax-M2.7-highspeed,4470,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_a_simple/attempt_0012/llm_metrics.json
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0013,1,llm,True,MiniMax-M2.7-highspeed,5707,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_c_grouped/attempt_0013/llm_metrics.json
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0014,1,llm,True,MiniMax-M2.7-highspeed,6011,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_d_dense/attempt_0014/llm_metrics.json
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0015,1,llm,True,MiniMax-M2.7-highspeed,49704,True,False,False,False,LFSValidationError,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_b_sequential/attempt_0015/llm_metrics.json
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0015,2,llm,True,MiniMax-M2.7-highspeed,7848,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_b_sequential/attempt_0015/llm_metrics.json
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0016,1,llm,True,MiniMax-M2.7-highspeed,3985,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_d_dense/attempt_0016/llm_metrics.json
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0017,1,llm,True,MiniMax-M2.7-highspeed,34550,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_e_mixed/attempt_0017/llm_metrics.json
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0018,1,llm,True,MiniMax-M2.7-highspeed,40142,False,False,False,False,JSONDecodeError,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_b_sequential/attempt_0018/llm_metrics.json
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0018,2,llm,True,MiniMax-M2.7-highspeed,7732,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_b_sequential/attempt_0018/llm_metrics.json
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0019,1,llm,True,MiniMax-M2.7-highspeed,8064,True,True,True,True,,/home/yihuang/learning/LLM_swarm_ws/src/LLM-UAVswarm-performance/experiments/results/experiments_10/exp10-formal-v2-gated-20260803/raw/task_c_grouped/attempt_0019/llm_metrics.json
