campaign_position,trial_id,family,family_registered_name,scenario_id,seed,condition,planning,feedback,attempt_status,infrastructure_failure_reason,raw_storage_disposition,block_id,block_is_primary_complete,whether_block_is_primary_complete,scientifically_eligible,j_hard_pair_s,realized_min_separation_m,hard_risk_event_count,predicted_min_separation_m,predicted_hard_conflict_count,controller_near_limit_fraction,any_realized_hard_risk,mission_success,failsafe_seen,feedback_intervention_burden,feedback_intervention_burden_availability
11,E3-B-02__P0_F1__S876320,B,B_residual_execution_risk,E3-B-02,876320,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S876320,true,true,true,0.6335303783416748,1.4145522294663946,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
12,E3-A-02__P0_F1__S861723,A,A_predictable_structural_risk,E3-A-02,861723,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S861723,true,true,true,1.7123332023620605,0.13030601428247382,2,0,2,0.058478260869565216,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
13,E3-B-01__P1_F0__S881128,B,B_residual_execution_risk,E3-B-01,881128,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S881128,true,true,true,2.6636765003204346,1.402519832171367,1,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
14,E3-B-02__P1_F1__S861723,B,B_residual_execution_risk,E3-B-02,861723,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S861723,true,true,true,0.62150835990905762,1.4026643278699793,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
15,E3-C-01__P1_F1__S279520,C,C_mixed_risk,E3-C-01,279520,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S279520,true,true,true,0,1.5590806861923827,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
16,E3-C-01__P0_F0__S261093,C,C_mixed_risk,E3-C-01,261093,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S261093,false,false,true,4.1705684661865234,0.57642945954451041,6,0.42748229992745784,2,0.00075000000000000002,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
17,E3-C-02__P0_F1__S279520,C,C_mixed_risk,E3-C-02,279520,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S279520,true,true,true,2.3191261291503906,0.49003236656693561,3,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
18,E3-C-02__P0_F1__S658212,C,C_mixed_risk,E3-C-02,658212,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S658212,true,true,true,2.3584580421447754,0.62310617256391454,3,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
19,E3-A-01__P1_F1__S279520,A,A_predictable_structural_risk,E3-A-01,279520,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true,true,true,0,1.947516298759616,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
20,E3-C-02__P1_F0__S702055,C,C_mixed_risk,E3-C-02,702055,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S702055,true,true,true,0.91583514213562012,1.3810614033604129,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
21,E3-A-02__P0_F1__S135275,A,A_predictable_structural_risk,E3-A-02,135275,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S135275,false,false,true,1.574531078338623,0.12909321774419308,2,0,2,0.057391304347826085,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
22,E3-C-01__P0_F0__S702055,C,C_mixed_risk,E3-C-01,702055,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S702055,true,true,true,1.4544336795806885,0.57063496484632836,7,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
23,E3-C-02__P1_F0__S959517,C,C_mixed_risk,E3-C-02,959517,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S959517,true,true,true,1.0334579944610596,1.3982970125254268,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
24,E3-A-02__P0_F1__S899696,A,A_predictable_structural_risk,E3-A-02,899696,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S899696,true,true,true,2.1290371417999268,0.10263680321556266,2,0,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
25,E3-A-02__P1_F1__S876320,A,A_predictable_structural_risk,E3-A-02,876320,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S876320,true,true,true,0,2.2700026667834234,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
26,E3-B-01__P0_F1__S934882,B,B_residual_execution_risk,E3-B-01,934882,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S934882,true,true,true,0,1.5123621790660358,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
27,E3-C-01__P1_F0__S702055,C,C_mixed_risk,E3-C-01,702055,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S702055,true,true,true,1.4497244358062744,1.4530212057074021,4,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
28,E3-A-02__P0_F1__S709169,A,A_predictable_structural_risk,E3-A-02,709169,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S709169,true,true,true,2.8481974601745605,0.073602342559188058,2,0,2,0.028478260869565217,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
29,E3-A-01__P0_F0__S279520,A,A_predictable_structural_risk,E3-A-01,279520,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true,true,true,1.0750524997711182,0.65945622510101887,2,0.42748229992745784,2,0.0043750000000000004,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
30,E3-A-01__P1_F0__S861723,A,A_predictable_structural_risk,E3-A-01,861723,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S861723,true,true,true,0,1.9573485685899394,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
31,E3-A-01__P1_F0__S135275,A,A_predictable_structural_risk,E3-A-01,135275,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S135275,false,false,true,0,1.9466846857607571,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
32,E3-A-02__P1_F1__S959517,A,A_predictable_structural_risk,E3-A-02,959517,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true,true,true,0,2.2430387726583563,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
33,E3-B-02__P1_F1__S959517,B,B_residual_execution_risk,E3-B-02,959517,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S959517,false,false,true,0.65467309951782227,1.4038544385971903,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
34,E3-C-01__P0_F0__S709169,C,C_mixed_risk,E3-C-01,709169,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S709169,false,false,true,3.7965831756591797,0.59537797361516087,7,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
35,E3-A-01__P0_F0__S135275,A,A_predictable_structural_risk,E3-A-01,135275,P0_F0,P0,F0,infrastructure_failure,RuntimeError: interaction deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-01__S135275,false,false,false,,,,,,,,,,,UNAVAILABLE_DUE_TO_INFRASTRUCTURE_FAILURE
36,E3-B-01__P1_F0__S876320,B,B_residual_execution_risk,E3-B-01,876320,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S876320,true,true,true,2.5853011608123779,1.3892796609836016,2,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
37,E3-C-01__P1_F1__S135275,C,C_mixed_risk,E3-C-01,135275,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S135275,true,true,true,0,1.5207614561467224,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
38,E3-C-01__P0_F1__S591774,C,C_mixed_risk,E3-C-01,591774,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S591774,true,true,true,1.3238532543182373,0.60151163270430974,2,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
39,E3-C-02__P1_F1__S261093,C,C_mixed_risk,E3-C-02,261093,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S261093,true,true,true,0.62273907661437988,1.4071801852221733,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
40,E3-A-01__P0_F0__S730940,A,A_predictable_structural_risk,E3-A-01,730940,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S730940,true,true,true,1.1579766273498535,0.11424876635011136,2,0.42748229992745784,2,0.00062500000000000001,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
41,E3-A-01__P0_F1__S881128,A,A_predictable_structural_risk,E3-A-01,881128,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S881128,true,true,true,1.0613682270050049,0.403998921009534,2,0.42748229992745784,2,0.0093749999999999997,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
42,E3-A-02__P1_F0__S899696,A,A_predictable_structural_risk,E3-A-02,899696,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S899696,true,true,true,0,2.2398051854716692,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
43,E3-B-01__P0_F1__S591774,B,B_residual_execution_risk,E3-B-01,591774,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S591774,true,true,true,0,1.5398036235496952,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
44,E3-C-02__P1_F1__S926184,C,C_mixed_risk,E3-C-02,926184,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S926184,true,true,true,0.59046530723571777,1.4228978144296995,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
45,E3-B-02__P1_F0__S709169,B,B_residual_execution_risk,E3-B-02,709169,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S709169,true,true,true,1.0232565402984619,1.3971323557497117,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
46,E3-A-01__P1_F1__S702055,A,A_predictable_structural_risk,E3-A-01,702055,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S702055,true,true,true,0,1.9557452211331614,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
47,E3-B-01__P1_F0__S861723,B,B_residual_execution_risk,E3-B-01,861723,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S861723,true,true,true,0,1.528037674374088,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
48,E3-B-02__P1_F0__S702055,B,B_residual_execution_risk,E3-B-02,702055,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S702055,true,true,true,0.85993385314941406,1.4086042596834616,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
49,E3-B-02__P1_F1__S658212,B,B_residual_execution_risk,E3-B-02,658212,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S658212,true,true,true,0.60550093650817871,1.3879198118243312,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
50,E3-C-02__P1_F1__S730940,C,C_mixed_risk,E3-C-02,730940,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S730940,false,false,true,0.65925908088684082,1.4016418126344441,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
51,E3-B-02__P0_F1__S658212,B,B_residual_execution_risk,E3-B-02,658212,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S658212,true,true,true,0.56578826904296875,1.4357021125906664,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
52,E3-B-02__P0_F1__S934882,B,B_residual_execution_risk,E3-B-02,934882,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S934882,true,true,true,0.67184257507324219,1.4034290656010675,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
53,E3-A-02__P0_F0__S861723,A,A_predictable_structural_risk,E3-A-02,861723,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S861723,true,true,true,2.0869524478912354,0.096125300449101683,2,0,2,0.044782608695652176,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
54,E3-A-02__P1_F0__S702055,A,A_predictable_structural_risk,E3-A-02,702055,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S702055,false,false,true,0,2.2319032666108081,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
55,E3-A-01__P1_F1__S135275,A,A_predictable_structural_risk,E3-A-01,135275,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S135275,false,false,true,0,1.9452834281947393,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
56,E3-B-01__P1_F1__S926184,B,B_residual_execution_risk,E3-B-01,926184,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S926184,true,true,true,0,1.5481007072287623,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
57,E3-A-02__P0_F1__S279520,A,A_predictable_structural_risk,E3-A-02,279520,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S279520,true,true,true,2.9827911853790283,0.053047327362764359,2,0,2,0.025217391304347827,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
58,E3-C-01__P0_F0__S591774,C,C_mixed_risk,E3-C-01,591774,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S591774,true,true,true,4.0181376934051514,0.5868077778511579,4,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
59,E3-B-02__P1_F0__S876320,B,B_residual_execution_risk,E3-B-02,876320,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S876320,true,true,true,0.88346958160400391,1.3939883329251355,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
60,E3-C-02__P1_F1__S135275,C,C_mixed_risk,E3-C-02,135275,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S135275,true,true,true,0.65419936180114746,1.4027379536779965,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
61,E3-C-01__P1_F1__S702055,C,C_mixed_risk,E3-C-01,702055,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S702055,true,true,true,0,1.5479414457577263,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
62,E3-A-01__P0_F1__S279520,A,A_predictable_structural_risk,E3-A-01,279520,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true,true,true,1.1706254482269287,0.086782205750395983,2,0.42748229992745784,2,0.033750000000000002,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
63,E3-C-02__P1_F1__S881128,C,C_mixed_risk,E3-C-02,881128,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S881128,false,false,true,0.60883426666259766,1.4180773014755683,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
64,E3-A-01__P1_F1__S959517,A,A_predictable_structural_risk,E3-A-01,959517,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S959517,true,true,true,0,1.9365990528525929,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
65,E3-A-02__P0_F0__S658212,A,A_predictable_structural_risk,E3-A-02,658212,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S658212,false,false,true,1.8608100414276123,0.024777309369379674,2,0,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
66,E3-C-02__P0_F1__S702055,C,C_mixed_risk,E3-C-02,702055,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S702055,true,true,true,2.2516734600067139,0.59142541828404582,3,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
67,E3-C-01__P0_F1__S926184,C,C_mixed_risk,E3-C-01,926184,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S926184,true,true,true,1.3243145942687988,0.60665208381020874,2,0.42748229992745784,2,0.0025000000000000001,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
68,E3-B-01__P0_F0__S591774,B,B_residual_execution_risk,E3-B-01,591774,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S591774,true,true,true,2.711939811706543,1.4006112233928736,3,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
69,E3-A-02__P1_F0__S959517,A,A_predictable_structural_risk,E3-A-02,959517,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true,true,true,0,2.2462451812523261,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
70,E3-B-01__P1_F0__S591774,B,B_residual_execution_risk,E3-B-01,591774,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S591774,true,true,true,0,1.9648501508071821,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
71,E3-B-02__P0_F1__S702055,B,B_residual_execution_risk,E3-B-02,702055,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S702055,true,true,true,0.61807823181152344,1.4120015069910952,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
72,E3-B-02__P0_F1__S861723,B,B_residual_execution_risk,E3-B-02,861723,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S861723,true,true,true,0.67047429084777832,1.3932013916808972,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
73,E3-A-02__P1_F1__S702055,A,A_predictable_structural_risk,E3-A-02,702055,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S702055,false,false,true,0,2.2440761740868895,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
74,E3-A-02__P1_F0__S926184,A,A_predictable_structural_risk,E3-A-02,926184,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S926184,true,true,true,0,2.2459369818861767,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
75,E3-C-01__P1_F0__S899696,C,C_mixed_risk,E3-C-01,899696,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S899696,true,true,true,0,1.5649336672799263,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
76,E3-A-02__P0_F0__S702055,A,A_predictable_structural_risk,E3-A-02,702055,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S702055,false,false,true,1.4771277904510498,0.067150301002502008,2,0,2,0.061086956521739129,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
