population,group_level,family,scenario_id,condition,endpoint,endpoint_kind,N,mean,median,sd,q1,q3,min,max,numerator,denominator,proportion,ci_low,ci_high,availability_note
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,j_hard_pair_s,continuous,14,1.100783007485526,1.1130334138870239,0.051437543337795003,1.0830444693565369,1.1267420053482056,0.98545622825622559,1.1754863262176514,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,realized_min_separation_m,continuous,14,0.32717526589480656,0.16867088401339508,0.25864239423160562,0.13172184064622383,0.64334868188143346,0.072760911546803364,0.68450579955360025,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,hard_risk_event_count,count,14,2,2,0,2,2,2,2,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,predicted_min_separation_m,continuous,14,0.42748229992745773,0.42748229992745784,1.1521328816827454e-16,0.42748229992745784,0.42748229992745784,0.42748229992745784,0.42748229992745784,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,predicted_hard_conflict_count,count,14,2,2,0,2,2,2,2,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,controller_near_limit_fraction,continuous,14,0.0037500000000000003,0.0025000000000000001,0.0042247553411183109,0,0.0062500000000000003,0,0.01125,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,any_realized_hard_risk,binary,14,,,,,,,,14,14,1,0.7846891972623643,1,Wilson two-sided 95% CI
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,mission_success,binary,14,,,,,,,,14,14,1,0.7846891972623643,1,Wilson two-sided 95% CI
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F0,failsafe_seen,binary,14,,,,,,,,0,14,0,0,0.21531080273763575,Wilson two-sided 95% CI
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F1,j_hard_pair_s,continuous,14,1.105956997190203,1.0913175344467163,0.075630785741605644,1.0631220936775208,1.1491370797157288,0.99854731559753418,1.27046799659729,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F1,realized_min_separation_m,continuous,14,0.34155498075989993,0.21364184757381655,0.25106409037334204,0.12681598259562615,0.63743145593203143,0.086782205750395983,0.67847098485351709,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F1,hard_risk_event_count,count,14,2,2,0,2,2,2,2,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F1,predicted_min_separation_m,continuous,14,0.42748229992745773,0.42748229992745784,1.1521328816827454e-16,0.42748229992745784,0.42748229992745784,0.42748229992745784,0.42748229992745784,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F1,predicted_hard_conflict_count,count,14,2,2,0,2,2,2,2,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F1,controller_near_limit_fraction,continuous,14,0.017633928571428571,0.016875000000000001,0.010609940037996922,0.0098437500000000001,0.025624999999999998,0,0.033750000000000002,,,,,,
PRIMARY_COMPLETE_BLOCKS,family_scenario_condition,A,E3-A-01,P0_F1,any_realized_hard_risk,binary,14,,,,,,,,14,14,1,0.7846891972623643,1,Wilson two-sided 95% CI
