stratum_type,stratum_value,endpoint,kind,unit,registered_n,available_n,numerator,denominator,proportion,wilson_95_low,wilson_95_high,mean,median,sample_sd,iqr,min,max
B_family,SIMPLE,scientific_completeness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,SIMPLE,infrastructure_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,SIMPLE,candidate_correctness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,SIMPLE,resolver_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,SIMPLE,mission_completion,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,SIMPLE,mission_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,SIMPLE,failsafe,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,SIMPLE,hard_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,SIMPLE,actual_d_min,continuous,m,15,15,,,,,,1.8845536962122844,1.8419758034742604,0.08711618874507902,0.1756014898020679,1.792339534347864,2.005830326126186
B_family,SIMPLE,tracking_rmse,continuous,m,15,15,,,,,,0.03123599727539615,0.028112243057029394,0.008116523251532322,0.01777243388014797,0.023299715225842708,0.04279116816592342
B_family,SIMPLE,final_error,continuous,m,15,15,,,,,,0.0338925736536581,0.030673113591471048,0.010770657989824938,0.013365360602653975,0.018969160507634215,0.05699362446711641
B_family,SIMPLE,completion_time,continuous,s,15,15,,,,,,15.036616404851278,15.037830352783203,0.004643284428324254,0.0032137632369995117,15.025635719299316,15.040632009506226
B_family,SIMPLE,T_LLM,continuous,s,15,15,,,,,,12.058241739266666,12.592839934,2.2793402150560365,3.091685975499999,8.089872474,16.330251735
B_family,SIMPLE,T_mission_execution,continuous,s,15,15,,,,,,16.272962516266666,15.64306426,1.34268836771319,2.7731735925000027,15.072658694,18.615073944
B_family,UNDER_SPECIFIED,scientific_completeness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,UNDER_SPECIFIED,infrastructure_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,UNDER_SPECIFIED,candidate_correctness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,UNDER_SPECIFIED,resolver_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,UNDER_SPECIFIED,mission_completion,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
