run_id,command_id,command_type,complexity,method,valid_json,schema_valid,compiled_success,prompt_tokens,completion_tokens,latency_ms,retry_count,error_type,matched_task_coverage,uav_set_accuracy,formation_accuracy,center_error,radius_error,duration_error,motion_style_accuracy,safety_factor_error,trigger_accuracy,field_accuracy,exact_task_accuracy,rejection_accuracy,normalized_response
minimax_m27_lfs_fix_v3,simple_18,simple,2,lfs_schema,True,True,True,851,305,7403,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[2,3,4,5,6],""F"":""Line"",""c"":[2.0,3.0,3.0],""r"":1.5,""T"":7.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_03,sequential,4,lfs_schema,True,True,True,872,865,18750,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5,6,7,8],""F"":""Line"",""c"":[6.0,0.0,5.0],""r"":3.0,""T"":7.0,""m"":""normal"",""s"":1.0,""q"":""continuous""},{""U"":[1,2,3,4,5,6,7,8],""F"":""Circle"",""c"":[0.0,6.0,5.0],""r"":2.5,""T"":9.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_02,sequential,3,lfs_schema,True,True,True,873,990,22738,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[2,3,4,5,6,7],""F"":""Line"",""c"":[5.0,0.0,4.0],""r"":2.5,""T"":6.0,""m"":""normal"",""s"":1.0,""q"":""continuous""},{""U"":[2,3,4,5,6,7],""F"":""Circle"",""c"":[0.0,5.0,4.0],""r"":3.0,""T"":8.0,""m"":""aggressive"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_01,sequential,3,lfs_schema,True,True,True,872,1289,27645,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5],""F"":""Line"",""c"":[4.0,0.0,3.0],""r"":2.0,""T"":5.0,""m"":""smooth"",""s"":1.0,""q"":""continuous""},{""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[0.0,4.0,3.0],""r"":2.5,""T"":7.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_06,sequential,4,lfs_schema,True,True,True,872,943,18948,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5,6,7,8],""F"":""Line"",""c"":[5.0,0.0,5.0],""r"":3.0,""T"":6.0,""m"":""normal"",""s"":1.0,""q"":""continuous""},{""U"":[1,2,3,4,5,6,7,8],""F"":""Circle"",""c"":[0.0,5.0,5.0],""r"":3.0,""T"":8.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_07,sequential,3,lfs_schema,True,True,True,872,974,22758,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5],""F"":""Line"",""c"":[6.0,0.0,3.0],""r"":2.0,""T"":7.0,""m"":""smooth"",""s"":1.0,""q"":""continuous""},{""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[0.0,6.0,3.0],""r"":2.5,""T"":9.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_05,sequential,3,lfs_schema,True,True,True,873,1100,22957,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[2,3,4,5,6,7],""F"":""Line"",""c"":[4.0,0.0,4.0],""r"":2.5,""T"":5.0,""m"":""normal"",""s"":1.0,""q"":""continuous""},{""U"":[2,3,4,5,6,7],""F"":""Circle"",""c"":[0.0,4.0,4.0],""r"":2.5,""T"":7.0,""m"":""aggressive"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_04,sequential,3,lfs_schema,True,True,True,872,1085,25191,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5],""F"":""Line"",""c"":[7.0,0.0,3.0],""r"":2.0,""T"":8.0,""m"":""smooth"",""s"":1.0,""q"":""continuous""},{""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[0.0,7.0,3.0],""r"":3.0,""T"":10.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_09,sequential,4,lfs_schema,True,True,True,872,721,17921,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5,6,7,8],""F"":""Line"",""c"":[4.0,0.0,5.0],""r"":3.0,""T"":5.0,""m"":""normal"",""s"":1.0,""q"":""continuous""},{""U"":[1,2,3,4,5,6,7,8],""F"":""Circle"",""c"":[0.0,4.0,5.0],""r"":2.5,""T"":7.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_lfs_fix_v3,sequential_11,sequential,3,lfs_schema,True,True,True,873,919,21667,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[2,3,4,5,6,7],""F"":""Line"",""c"":[6.0,0.0,4.0],""r"":2.5,""T"":7.0,""m"":""normal"",""s"":1.0,""q"":""continuous""},{""U"":[2,3,4,5,6,7],""F"":""Circle"",""c"":[0.0,6.0,4.0],""r"":2.5,""T"":9.0,""m"":""aggressive"",""s"":1.0,""q"":""direct""}]}"
